iter	RMSE
0	227.8180343
1	223.6552949
2	220.1671392
3	216.6582376
4	213.1759584
5	210.2537527
6	206.9076563
7	203.7201072
8	200.462559
9	196.8915959
10	193.5259372
11	190.4202695
12	187.4627292
13	184.1609007
14	181.2789205
15	178.2986131
16	175.6038212
17	172.9730817
18	170.7526669
19	168.0315713
20	165.2891203
21	163.080893
22	160.8614893
23	158.9175184
24	156.7789412
25	154.3231353
26	151.8014193
27	150.249177
28	148.6485882
29	146.9408138
30	145.2034628
31	143.1255092
32	141.0781742
33	138.9608048
34	137.1005187
35	135.5289593
36	133.7701257
37	131.9984374
38	130.1546689
39	128.1111097
40	126.5995042
41	125.2932727
42	123.880337
43	122.3511289
44	120.8531838
45	119.2488052
46	117.5755208
47	116.0910713
48	114.6332857
49	113.1806802
50	111.6912418
51	110.7990132
52	109.3586699
53	108.1617068
54	106.8506302
55	105.677173
56	104.4480578
57	103.1402953
58	102.1638486
59	101.2032323
60	100.2849542
61	99.16823455
62	98.23225114
63	97.37041919
64	96.40839485
65	95.38545323
66	94.31448201
67	93.56733154
68	92.710311
69	92.07470632
70	91.15999363
71	90.50143292
72	89.67177093
73	88.91452447
74	88.2689173
75	87.89165967
76	87.21081245
77	86.50921391
78	85.67578506
79	85.13871769
80	84.77706392
81	84.0350465
82	83.45564614
83	82.8670872
84	82.17997035
85	81.59943731
86	81.06624451
87	80.6500177
88	80.19610919
89	79.63955655
90	79.16169496
91	78.54905266
92	78.00542374
93	77.43792873
94	76.87208557
95	76.40555105
96	75.76524322
97	75.4181048
98	75.15357859
99	74.6623743
100	74.23569075
101	73.84026605
102	73.63951886
103	73.2000864
104	72.76742044
105	72.39467642
106	72.035012
107	71.71883111
108	71.32394438
109	71.04074316
110	70.5127976
111	70.17900078
112	69.71278822
113	69.41881658
114	69.04030742
115	68.62917442
116	68.26216551
117	67.92953552
118	67.62499541
119	67.18884021
120	66.82753839
121	66.41196565
122	66.06135347
123	65.78137417
124	65.50546704
125	65.44298538
126	65.15093869
127	64.86598099
128	64.43672807
129	64.27438077
130	63.97583869
131	63.71389957
132	63.36317681
133	63.11146267
134	62.84427523
135	62.6121013
136	62.46261045
137	62.18313946
138	61.96798186
139	61.74414202
140	61.51666387
141	61.29392902
142	61.02710563
143	60.75350468
144	60.56796945
145	60.49102006
146	60.34758109
147	60.1836922
148	59.98111002
149	59.82694412
150	59.60918516
151	59.47773986
152	59.14121899
153	59.02767206
154	58.83153668
155	58.53093774
156	58.35358661
157	58.24562337
158	58.04562969
159	57.8640638
160	57.79211485
161	57.74352114
162	57.60773456
163	57.35574277
164	57.18107437
165	56.88862419
166	56.62235461
167	56.44748466
168	56.26967404
169	56.00349417
170	55.82759706
171	55.73544644
172	55.4335614
173	55.22996623
174	55.02475529
175	54.87140289
176	54.74339635
177	54.55439505
178	54.39107494
179	54.18658347
180	54.05228963
181	53.95148787
182	53.81486519
183	53.72820223
184	53.52977267
185	53.4980021
186	53.3269256
187	53.13626739
188	52.94759462
189	52.89690704
190	52.74253458
191	52.50901415
192	52.26282849
193	52.20257872
194	52.15395208
195	51.86756266
196	51.79180105
197	51.65379683
198	51.51922476
199	51.27067595
200	51.16804621
201	51.08611986
202	51.03290013
203	50.98310542
204	50.88980249
205	50.54935347
206	50.45585591
207	50.20122987
208	50.13153551
209	49.99741748
210	49.9397494
211	49.90941205
212	49.87068511
213	49.77867123
214	49.68361659
215	49.57977096
216	49.49756816
217	49.41206073
218	49.37755658
219	49.22549658
220	49.15883342
221	49.08043422
222	48.92009549
223	48.8654345
224	48.80992186
225	48.71031854
226	48.67500863
227	48.62394566
228	48.59156712
229	48.54636851
230	48.49151925
231	48.43817964
232	48.38014024
233	48.31764378
234	48.27978948
235	48.00013011
236	47.91866923
237	47.70389423
238	47.66893014
239	47.57382431
240	47.54361441
241	47.40635596
242	47.36021321
243	47.33022185
244	47.29834798
245	47.26838817
246	47.11603086
247	46.89709466
248	46.86586651
249	46.82077347
250	46.65175044
251	46.62266361
252	46.50670138
253	46.47647878
254	46.44984665
255	46.3283874
256	46.29918412
257	46.27228587
258	45.99175893
259	45.85411622
260	45.64230647
261	45.61529169
262	45.59092813
263	45.37836606
264	45.34576792
