iter	Passed	Remaining
0	0	570
1	1	500
2	1	461
3	1	440
4	2	429
5	2	402
6	2	394
7	3	388
8	3	414
9	4	427
10	4	441
11	5	440
12	5	433
13	6	428
14	6	423
15	6	424
16	7	421
17	7	418
18	8	414
19	8	409
20	8	407
21	9	408
22	9	404
23	9	401
24	10	399
25	10	398
26	11	397
27	11	396
28	11	394
29	12	392
30	12	393
31	13	400
32	13	403
33	14	403
34	14	402
35	14	401
36	15	400
37	15	399
38	16	397
39	16	395
40	16	394
41	17	392
42	17	390
43	17	389
44	18	388
45	18	387
46	19	385
47	19	384
48	19	383
49	20	381
50	20	380
51	20	379
52	21	377
53	21	376
54	22	381
55	22	382
56	23	382
57	23	383
58	24	383
59	24	382
60	24	381
61	25	380
62	25	379
63	25	378
64	26	378
65	26	377
66	26	375
67	27	374
68	27	373
69	28	373
70	28	372
71	28	371
72	29	370
73	29	369
74	29	368
75	30	365
76	30	364
77	30	363
78	31	362
79	31	363
80	31	362
81	32	362
82	32	361
83	33	361
84	33	360
85	33	360
86	34	359
87	34	358
88	34	357
89	35	356
90	35	355
91	35	354
92	36	353
93	36	353
94	36	351
95	37	349
96	37	349
97	37	348
98	38	347
99	38	346
100	38	346
101	39	345
102	39	344
103	40	344
104	40	345
105	40	344
106	41	345
107	41	345
108	42	344
109	42	343
110	42	343
111	43	342
112	43	342
113	43	341
114	44	340
115	44	340
116	45	339
117	45	339
118	45	338
119	46	337
120	46	336
121	46	336
122	47	335
123	47	335
124	47	334
125	48	332
126	48	332
127	48	331
128	49	331
129	49	331
130	49	331
131	50	330
132	50	330
133	51	330
134	51	329
135	51	329
136	52	329
137	52	328
138	53	328
139	53	328
140	53	327
141	54	327
142	54	326
143	54	326
144	55	325
145	55	324
146	55	324
147	56	323
148	56	323
149	56	322
150	57	322
151	57	321
152	57	321
153	58	320
154	58	321
155	59	321
156	59	320
157	60	320
158	60	320
159	60	319
160	61	319
161	61	318
162	61	317
163	62	316
164	62	316
165	62	315
166	63	315
167	63	314
168	63	314
169	64	313
170	64	313
171	64	312
172	65	312
173	65	311
174	66	311
175	66	310
176	66	309
177	66	309
178	67	308
179	67	308
180	68	308
181	68	308
182	68	307
183	69	307
184	69	306
185	69	305
186	70	304
187	70	304
188	70	303
189	71	303
190	71	302
191	71	302
192	72	301
193	72	301
194	72	300
195	73	299
196	73	299
197	73	298
198	74	298
199	74	297
200	74	296
201	75	296
202	75	295
203	75	295
204	76	294
205	76	294
206	76	294
207	77	294
208	77	293
209	77	293
210	78	292
211	78	291
212	78	291
213	79	291
214	79	290
215	80	290
216	80	289
217	80	289
218	80	288
219	81	287
220	81	287
221	81	286
222	82	286
223	82	285
224	82	285
225	83	284
226	83	284
227	83	284
228	84	283
229	84	283
230	84	282
231	85	282
232	85	282
233	86	282
234	86	281
235	86	281
236	87	281
237	87	280
238	87	279
239	88	279
240	88	278
241	88	278
242	89	277
243	89	277
244	89	276
245	90	276
246	90	275
247	90	275
248	91	275
249	91	274
250	91	274
251	92	273
252	92	273
253	92	272
254	93	272
255	93	271
256	93	271
257	94	270
258	94	270
259	94	270
260	95	269
261	95	269
262	96	269
263	96	268
264	96	268
265	97	267
266	97	267
267	97	267
268	98	266
269	98	266
270	98	265
271	99	265
272	99	264
273	99	264
274	100	263
275	100	263
276	100	262
277	101	262
278	101	261
279	101	261
280	101	260
281	102	260
282	102	259
283	102	259
284	103	258
285	103	258
286	104	258
287	104	258
288	104	258
289	105	257
290	105	257
291	105	256
292	106	256
293	106	256
294	106	255
295	107	255
296	107	254
297	107	254
298	108	253
299	108	253
300	108	252
301	109	252
302	109	251
303	109	251
304	110	250
305	110	250
306	110	249
307	111	249
308	111	249
309	111	248
310	111	248
311	112	248
312	112	248
313	113	247
314	113	247
315	114	247
316	114	246
317	115	246
318	115	246
319	115	246
320	116	245
321	116	245
322	116	245
323	117	244
324	117	244
325	118	244
326	118	244
327	119	243
328	119	243
329	119	243
330	120	242
331	120	242
332	120	242
333	121	241
334	121	241
335	121	241
336	122	240
337	122	240
338	123	240
339	123	239
340	123	239
341	124	238
342	124	238
